id,images_list,name,color,price,desc,fit,fabircation,num_reviews
23,"['https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a1_1_m108_750x.jpg?v=1674603331', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a2_1_m108_750x.jpg?v=1674603330', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a3_1_m108_750x.jpg?v=1674603330', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a4_1_m108_750x.jpg?v=1674603329', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b2_s3_a1_m142_750x.jpg?v=1679337267']",Knock Out Faux Fur Jacket,Chocolate,$368,"There are no words for how cool this look is, but we’ll try: the Knock Out Faux Fur Jacket is an instant icon, courtesy of luxe faux fur and faux leather inset design. Welt zip pockets keep your stuff secure and a sleek, satin-like lining completes the look.","
The garment is designed for a loose fit — size down for a closer, more snug fit
Full length
Bungee at hem
Model is 6’2” tall, with 39” chest & 32” waist — he wears size M.
","
Luxe faux fur with satiny interior lining
Slanted, inset design  
Zippered pockets
Machine wash separately on cold, gentle cycle. Tumble dry low, gentle cycle. Do not iron. Do not dry clean.
",0
24,"['https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a1_1_m108_750x.jpg?v=1674603331', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a2_1_m108_750x.jpg?v=1674603330', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a3_1_m108_750x.jpg?v=1674603330', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a4_1_m108_750x.jpg?v=1674603329', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b2_s3_a1_m142_750x.jpg?v=1679337267']",Stunner Puffer Jacket,Black,$498,"This is what the future of fashion looks like — luxe, jaw-dropping, perfectly structured & so elevated. The Stunner Puffer Jacket attracts endless admiration & compliments, thanks to super-glossy, lightweight woven fabric and bungees at the hood, waist & sleeves for just-right contouring. A structured hood & high front collar perfectly frame the face and elevated seam details complete the look.","
Oversized silhouette & roomy fit
Face-framing hood-collar combo
Chill dropped shoulders
Model is 6’2” tall, with 39” chest & 32” waist — he wears size M.
","
Lightweight, high-gloss woven puffer
Elevated seam details
Bungee hood, waist, & sleeves
Machine wash cold on gentle cycle, inside out, with like colors. Do not tumble dry. Do not iron. Do not dry clean.
",0
25,"['https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a1_1_m108_750x.jpg?v=1674603331', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a2_1_m108_750x.jpg?v=1674603330', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a3_1_m108_750x.jpg?v=1674603330', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a4_1_m108_750x.jpg?v=1674603329', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b2_s3_a1_m142_750x.jpg?v=1679337267']",Knock Out Faux Fur Jacket,Black,$368,"There are no words for how cool this look is, but we’ll try: the Knock Out Faux Fur Jacket is an instant icon, courtesy of luxe faux fur and faux leather inset design. Welt zip pockets keep your stuff secure and a sleek, satin-like lining completes the look.","
The garment is designed for a loose fit — size down for a closer, more snug fit
Full length
Bungee at hem
Model is 6’2” tall, with 39” chest & 32” waist — he wears size M.
","
Luxe faux fur with satiny interior lining
Slanted, inset design  
Zippered pockets
Machine wash separately on cold, gentle cycle. Tumble dry low, gentle cycle. Do not iron. Do not dry clean.
",0
26,"['https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a1_1_m108_750x.jpg?v=1674603331', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a2_1_m108_750x.jpg?v=1674603330', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a3_1_m108_750x.jpg?v=1674603330', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a4_1_m108_750x.jpg?v=1674603329', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b2_s3_a1_m142_750x.jpg?v=1679337267']",VIP Blazer Trench,Black,$238,"You’ve reached VIP status. The VIP Blazer Trench is a full-length outerwear staple done in comfy, heavyweight fleece that keeps the core toasty in colder months. This blazer-inspired design features a single-button front opening, side-entry welt pockets and a relaxed fit meant for layering over other Alo essentials when hitting the streets.","
Drop-shoulder silhouette for oversized look — size down for a closer fit
Full-length with button front opening 
Model is 6’2” tall, with 39” chest & 32” waist — he wears size M.
","
Heavyweight fleece fabric 
Notched coat collar 
Single-button front opening 
Side-entry welt pockets 
Machine wash separately on cold, gentle cycle. Tumble dry low, gentle cycle. Low iron.
", 1 Review 
27,"['https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a1_1_m108_750x.jpg?v=1674603331', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a2_1_m108_750x.jpg?v=1674603330', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a3_1_m108_750x.jpg?v=1674603330', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a4_1_m108_750x.jpg?v=1674603329', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b2_s3_a1_m142_750x.jpg?v=1679337267']",Sherpa Stage Puffer,Camel,$228,"The moment temps begin to drop, reach for the Sherpa Stage Puffer. It’s an ultra-warm, structured puffer jacket fully lined in our cozy, premium sherpa fabric, with a full-zip closure and zippered  side pockets that keeps hands warmly insulated. Complete with a tall, stand-up collar, bundling up in this textured, fleecy favorite has never felt better.","
Oversized fit
Tall, stand-up collar
Model is 6’2” tall, with 39” chest & 32” waist — he wears size M.
","
Plush Sherpa faux fur
Zippered side pockets 
Machine wash separately on cold, gentle cycle. Tumble dry low, gentle cycle. Low iron.
", 16 Reviews 
28,"['https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a1_1_m108_750x.jpg?v=1674603331', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a2_1_m108_750x.jpg?v=1674603330', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a3_1_m108_750x.jpg?v=1674603330', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a4_1_m108_750x.jpg?v=1674603329', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b2_s3_a1_m142_750x.jpg?v=1679337267']",Corduroy Stage Puffer,Core: Bone,$248,"Stand out and stay warm in the Corduroy Stage Puffer. It has a cozy, insulated body, padded corduroy exterior and zippered side pockets—a must for making the to-and-from as toasty as possible. A heavyweight, slightly oversized, wind-and-weather-proof coat worthy of your year-round rotation.","
Oversized fit
Tall, stand-up collar
Model is 6’2” tall, with 39” chest & 32” waist — he wears size M.
","
Ultra-warm corduroy fabric
100% Polyester fill
Full zip closure with zippered side pockets
Machine wash cold with like colors. Tumble dry low; low iron. Do not dry clean.
", 11 Reviews 
29,"['https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a1_1_m108_750x.jpg?v=1674603331', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a2_1_m108_750x.jpg?v=1674603330', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a3_1_m108_750x.jpg?v=1674603330', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a4_1_m108_750x.jpg?v=1674603329', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b2_s3_a1_m142_750x.jpg?v=1679337267']",Repeat Running Jacket,Core: Gravel,$138,"Studio. Street. Chill. Repeat. The Repeat Running Jacket, made from high-tech, ripstop fabric, is the perfect lightweight jacket for morning runs or making moves all day. A vented back gives extra airflow for comfort, while a 3-panel hood with Alo-logo bungee closure in the back keeps you covered. Two pockets hold all your essentials — plus, this weightless jacket compresses for convenient travel.","
Regular fit
Model is 6’2” tall, with 39” chest & 32” waist — he wears size M.
","
Cooling, lightweight ripstop
Vented back
3-Panel hood with bungee closure
Two pockets
Water resistant
", 38 Reviews 
30,"['https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a1_1_m108_750x.jpg?v=1674603331', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a2_1_m108_750x.jpg?v=1674603330', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a3_1_m108_750x.jpg?v=1674603330', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a4_1_m108_750x.jpg?v=1674603329', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b2_s3_a1_m142_750x.jpg?v=1679337267']",Ripstop 1/4 Zip On-Set Jacket,Core,$148,"Keep it top-notch from the top down with the Ripstop ¼ Zip On-Set Jacket, made from high-tech, water-resistant ripstop fabric. A bungee drawcord easily locks in heat in cooler weather while the handy front pocket keeps small essentials secure at the gym or on the streets. Lightweight, on-point and perfect for on-the-go when paired with performance bottoms.","
Relaxed fit
Raglan sleeve & stand up collar 
Model is 6’2” tall, with 39” chest & 32” waist — he wears size M.
","
Street-ready, water-resistant ripstop 
Zips to midsection 
Cuffed sleeves
Bungee drawcord closure
Lined with athletic mesh
Machine wash cold on gentle cycle, with like colors. Hang to dry; warm iron if needed. Do not dry clean.
", 25 Reviews 
31,"['https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a1_1_m108_750x.jpg?v=1674603331', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a2_1_m108_750x.jpg?v=1674603330', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a3_1_m108_750x.jpg?v=1674603330', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a4_1_m108_750x.jpg?v=1674603329', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b2_s3_a1_m142_750x.jpg?v=1679337267']",Oversized Faux Fur Trench,Ivory,$398,"The new, insanely soft & touchable Oversized Faux Fur Trench takes the beloved silhouette of our Oversized Sherpa Trench and remixed it in the softest faux fur you’ve ever felt, with an open front, zippered pockets, a notched collar and sleek, satiny lining. Keep this classic on hand all season long and layer over your fave hoodie for some street edge.","
Hits at mid calf
The garment is designed for a loose fit — size down for a more fitted silhouette
Model is 6’2” tall, with 39” chest & 32” waist — he wears size M.
","
Luxe faux fur with satiny interior lining
Open front, zippered pockets & notched collar
Machine wash separately on cold, gentle cycle. Tumble dry low, gentle cycle. Do not iron. Do not dry clean.
", 1 Review 
32,"['https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a1_1_m108_750x.jpg?v=1674603331', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a2_1_m108_750x.jpg?v=1674603330', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a3_1_m108_750x.jpg?v=1674603330', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a4_1_m108_750x.jpg?v=1674603329', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b2_s3_a1_m142_750x.jpg?v=1679337267']",Oversized Faux Fur Trench,Chocolate,$398,"The new, insanely soft & touchable Oversized Faux Fur Trench takes the beloved silhouette of our Oversized Sherpa Trench and remixed it in the softest faux fur you’ve ever felt, with an open front, zippered pockets, a notched collar and sleek, satiny lining. Keep this classic on hand all season long and layer over your fave hoodie for some street edge.","
Hits at mid calf
The garment is designed for a loose fit — size down for a more fitted silhouette
Model is 6’2” tall, with 39” chest & 32” waist — he wears size M.
","
Luxe faux fur with satiny interior lining
Open front, zippered pockets & notched collar
Machine wash separately on cold, gentle cycle. Tumble dry low, gentle cycle. Do not iron. Do not dry clean.
", 1 Review 
33,"['https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a1_1_m108_750x.jpg?v=1674603331', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a2_1_m108_750x.jpg?v=1674603330', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a3_1_m108_750x.jpg?v=1674603330', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a4_1_m108_750x.jpg?v=1674603329', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b2_s3_a1_m142_750x.jpg?v=1679337267']",Repeat Running Jacket,Core: Black,$138,"Studio. Street. Chill. Repeat. The Repeat Running Jacket, made from high-tech, ripstop fabric, is the perfect lightweight jacket for morning runs or making moves all day. A vented back gives extra airflow for comfort, while a 3-panel hood with Alo-logo bungee closure in the back keeps you covered. Two pockets hold all your essentials — plus, this weightless jacket compresses for convenient travel.","
Regular fit
Model is 6’2” tall, with 39” chest & 32” waist — he wears size M.
","
Cooling, lightweight ripstop
Vented back
3-Panel hood with bungee closure
Two pockets
Water resistant
", 38 Reviews 
34,"['https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a1_1_m108_750x.jpg?v=1674603331', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a2_1_m108_750x.jpg?v=1674603330', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a3_1_m108_750x.jpg?v=1674603330', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a4_1_m108_750x.jpg?v=1674603329', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b2_s3_a1_m142_750x.jpg?v=1679337267']",Legend Jacket,Core,$198,"Ready to take the #1 spot in your closet. The Legend Jacket is a lightweight, wear-on-repeat look for he, she & they, featuring memory woven fabric with light fill, sleek nylon lining, a front zipper with snaps, an iconic collar & front pocket. A round, shoelace drawcord at the bottom, a back locker loop, cinched cuffs and zippered pockets complete the look. Wear it solo or as a head-to-toe statement with the Legend Snap Pant.","
Relaxed, roomy fit
The garment is a designed for a loose fit — size down for a more fitted silhouette.
Model is 6’2” tall, with 39” chest & 32” waist — he wears size M.
","
Cool memory woven fabric & light fill
Collared look with cinched cuffs & front pocket
Machine wash separately on cold, gentle cycle. Tumble dry low; low iron. Do not dry clean.
", 1 Review 
